wav_filename,wav_filesize,transcript
/data/shared-task/train/3660.wav,92838,i would like to buy four musical tickets
/data/shared-task/train/3661.wav,60198,i would go by free day evening
/data/shared-task/train/3662.wav,58278,i would like to go a friday night
/data/shared-task/train/3666.wav,60198,in the eight row
/data/shared-task/train/3667.wav,74278,i want to sit in the eight row
/data/shared-task/train/3668.wav,89638,i want sit in the eight row
/data/shared-task/train/3670.wav,66598,i want two tickets please
/data/shared-task/train/3671.wav,79398,no i do not have a reservation
/data/shared-task/train/3673.wav,61478,no i do not have a reservation
/data/shared-task/train/3674.wav,109478,can i have six rooms for six nights
/data/shared-task/train/3676.wav,58278,i want a double room
/data/shared-task/train/3679.wav,57638,have you a pool
/data/shared-task/train/3680.wav,63398,where is the pool
/data/shared-task/train/3681.wav,67238,i want a room for four nights
/data/shared-task/train/3682.wav,60198,i want a double room
/data/shared-task/train/3683.wav,43558,can i pay with visa
/data/shared-task/train/3684.wav,53158,is there a hotel restaurant
/data/shared-task/train/3685.wav,56358,where is the hotel restaurant
/data/shared-task/train/3686.wav,36518,can i pay with visa
/data/shared-task/train/3688.wav,37798,can i pay with swiss friends
/data/shared-task/train/3689.wav,55718,no i do not have a reservation
/data/shared-task/train/3690.wav,48678,i want a room for seven nights
/data/shared-task/train/3691.wav,33958,on the junior suite
/data/shared-task/train/3692.wav,49958,can i pay by mastercard
/data/shared-task/train/3693.wav,32678,is there a hairdresser
/data/shared-task/train/3694.wav,32038,where is the hairdresser
/data/shared-task/train/3695.wav,44838,i would like three tickets to london
/data/shared-task/train/3696.wav,49958,i want to leave on wednesday evening
/data/shared-task/train/3697.wav,30118,my name is sarah
/data/shared-task/train/3700.wav,40998,i want a ticket to london
/data/shared-task/train/3701.wav,42278,i would like to leave on sunday
/data/shared-task/train/3702.wav,30758,my name is john
/data/shared-task/train/3703.wav,39078,i am from spain
/data/shared-task/train/3704.wav,33958,my name is brian
/data/shared-task/train/3705.wav,29478,i am from america
/data/shared-task/train/3707.wav,33318,i am from portugal
/data/shared-task/train/3708.wav,45478,the capital of portugal is
/data/shared-task/train/3709.wav,44198,i have two young brothers
/data/shared-task/train/3710.wav,35238,i going to holidays
/data/shared-task/train/3713.wav,39078,that's is my passport
/data/shared-task/train/3714.wav,44198,this is my passport
/data/shared-task/train/3716.wav,39078,i want pay
/data/shared-task/train/3717.wav,46118,i would like to pay by post card
/data/shared-task/train/3718.wav,47398,i would like to pay by post card
/data/shared-task/train/3719.wav,48678,i want two musical tickets
/data/shared-task/train/3720.wav,93478,i want two tickets for monday evening
/data/shared-task/train/3723.wav,51238,a room for two nights
/data/shared-task/train/3724.wav,52518,can i have a room for two nights
/data/shared-task/train/3725.wav,34598,a single room
/data/shared-task/train/3726.wav,48038,single room
/data/shared-task/train/3727.wav,24998,single room
/data/shared-task/train/3728.wav,69798,i
/data/shared-task/train/3735.wav,47398,can i pay with dollars
/data/shared-task/train/3737.wav,42918,i want a single room
/data/shared-task/train/3738.wav,57638,i want to pay with credit card
/data/shared-task/train/3740.wav,44838,have you got a fitness studio
/data/shared-task/train/3741.wav,29478,is there a gym
/data/shared-task/train/3742.wav,27558,where is the gym
/data/shared-task/train/3743.wav,49958,i want a ticket to london
/data/shared-task/train/3744.wav,51878,i want to leave tomorrow at noon
/data/shared-task/train/3745.wav,30118,my name is mona
/data/shared-task/train/3749.wav,42278,a single room please a single
/data/shared-task/train/3750.wav,32038,i would like a steak
/data/shared-task/train/3751.wav,28838,the steak
/data/shared-task/train/3759.wav,42918,which bus goes there
/data/shared-task/train/3761.wav,58278,a dorm for six nights
/data/shared-task/train/3762.wav,63398,a dorm for six nights
/data/shared-task/train/3763.wav,55078,i want a room for six nights
/data/shared-task/train/3764.wav,43558,a twin
/data/shared-task/train/3768.wav,40358,is there a lift
/data/shared-task/train/3769.wav,47398,i've no a reservation
/data/shared-task/train/3770.wav,44198,i have no reservation
/data/shared-task/train/3773.wav,46758,i haven't got a reservation
/data/shared-task/train/3774.wav,45478,i have not a reservation
/data/shared-task/train/3776.wav,48038,i do not have a reservation
/data/shared-task/train/3777.wav,33318,i do not have a reservation
/data/shared-task/train/3778.wav,61478,no i do not have a reservation
/data/shared-task/train/3779.wav,74918,no i have not have
/data/shared-task/train/3781.wav,64038,no i do not have a reservation
/data/shared-task/train/3782.wav,46758,a room for seven nights
/data/shared-task/train/3784.wav,31398,a double room
/data/shared-task/train/3786.wav,58918,i would like to pay by post card
/data/shared-task/train/3787.wav,44198,is there a restaurant
/data/shared-task/train/3789.wav,39718,where is the restaurant
/data/shared-task/train/3790.wav,46118,where is where is the hotel restaurant
/data/shared-task/train/3791.wav,55718,a room for two nights
/data/shared-task/train/3792.wav,33318,a double room
/data/shared-task/train/3795.wav,71078,i would like to pay by post card
/data/shared-task/train/3796.wav,131238,i would like to pay by swiss
/data/shared-task/train/3797.wav,64678,i would like to pay by swiss francs
/data/shared-task/train/3798.wav,48678,can i pay with swiss francs
/data/shared-task/train/3800.wav,56998,i want a ticket to the piccadilly circus
/data/shared-task/train/3802.wav,53158,i'd like to change with pounds
/data/shared-task/train/3803.wav,29478,i'm thanks
/data/shared-task/train/3804.wav,32678,i'd like
/data/shared-task/train/3805.wav,37158,i would like some boots
/data/shared-task/train/3806.wav,46758,i would like blue boots
/data/shared-task/train/3807.wav,74278,no i don't have a reservation
/data/shared-task/train/3808.wav,51238,a room for three nights
/data/shared-task/train/3809.wav,38438,a junior suite
/data/shared-task/train/3810.wav,58278,i want pay with credit card
/data/shared-task/train/3812.wav,40358,i am from france
/data/shared-task/train/3813.wav,92838,the capital of france is paris
/data/shared-task/train/3814.wav,56358,i have two younger sisters
/data/shared-task/train/3815.wav,46758,i go in the holidays
/data/shared-task/train/3816.wav,46758,this is my passport
/data/shared-task/train/3817.wav,55078,these is my passport
/data/shared-task/train/3818.wav,50598,yes it is my passport
/data/shared-task/train/3820.wav,56358,can i have three musical tickets
/data/shared-task/train/3822.wav,80678,i need three tickets for starlight express
/data/shared-task/train/3823.wav,90918,i would like in the fourth serious sit
/data/shared-task/train/3825.wav,69158,i want tickets for the london eye
/data/shared-task/train/3826.wav,41638,i need four tickets
/data/shared-task/train/3827.wav,53158,i need three musical tickets
/data/shared-task/train/3828.wav,69798,i need a ticket for thursday night
/data/shared-task/train/3829.wav,60198,i need three tickets for wicked
/data/shared-task/train/3830.wav,56998,i want a ticket for these musical
/data/shared-task/train/3831.wav,62118,i want tickets for this musical
/data/shared-task/train/3832.wav,69798,i want to sit in the second row
/data/shared-task/train/3833.wav,65318,i want tickets for madame tussauds
/data/shared-task/train/3834.wav,44838,i need one ticket
/data/shared-task/train/3835.wav,50598,i need one musical ticket
/data/shared-task/train/3836.wav,35878,a ticket for night
/data/shared-task/train/3837.wav,46758,i want tickets for this evening
/data/shared-task/train/3838.wav,46758,i want a ticket for mamma mia
/data/shared-task/train/3839.wav,65958,i want a ticket for this musical
/data/shared-task/train/3841.wav,48038,i would like to sit in the front
/data/shared-task/train/3842.wav,78758,i need tickets for the british museum
/data/shared-task/train/3843.wav,67238,can i also have tickets for the british museum
/data/shared-task/train/3844.wav,41638,i need two tickets
/data/shared-task/train/3845.wav,51238,i need two musical tickets
/data/shared-task/train/3847.wav,75558,i need two tickets for the lion king
/data/shared-task/train/3849.wav,71718,i want tickets for the science museum
/data/shared-task/train/3850.wav,39718,i need one ticket
/data/shared-task/train/3852.wav,50598,where is the oxford street
/data/shared-task/train/3853.wav,53798,which bus goes there
/data/shared-task/train/3854.wav,53798,the tower is near the tower bridge
/data/shared-task/train/3855.wav,59558,where is the natural history museum
/data/shared-task/train/3856.wav,64678,where is piccadilly circus
/data/shared-task/train/3857.wav,46118,which bus goes there
/data/shared-task/train/3858.wav,90278,the big ben is beside the houses of parliament
/data/shared-task/train/3859.wav,58278,where is the natural history museum
/data/shared-task/train/3860.wav,69798,you can't use help at the silver level
/data/shared-task/train/3861.wav,40358,where is the tower
/data/shared-task/train/3862.wav,80038,marble arch is across hyde park
/data/shared-task/train/3863.wav,49958,where is the national gallery
/data/shared-task/train/3864.wav,35878,where is the big ben
/data/shared-task/train/3865.wav,48038,which bus goes there
/data/shared-task/train/3866.wav,61478,the tower is near tower bridge
/data/shared-task/train/3867.wav,37158,where is the zoo
/data/shared-task/train/3868.wav,47398,where is madame tussauds
/data/shared-task/train/3869.wav,38438,which bus goes there
/data/shared-task/train/3870.wav,55078,the tower is near tower bridge
/data/shared-task/train/3871.wav,60838,i want a an orange juice
/data/shared-task/train/3872.wav,51878,i want an orange juice
/data/shared-task/train/3874.wav,56998,i want my hamburger rare
/data/shared-task/train/3875.wav,37158,i want peas
/data/shared-task/train/3878.wav,53158,yes can i have the dessert card
/data/shared-task/train/3879.wav,53798,can i have the dessert card
/data/shared-task/train/3880.wav,40358,the dessert menu please
/data/shared-task/train/3882.wav,62118,can i have the carrot cake
/data/shared-task/train/3888.wav,55718,no i do not have a reservation
/data/shared-task/train/3889.wav,42278,a room for two nights
/data/shared-task/train/3890.wav,31398,i'd like a suite
/data/shared-task/train/3891.wav,64678,i would like pay with mastercard
/data/shared-task/train/3893.wav,58278,i would like a room for once a week
/data/shared-task/train/3894.wav,28838,i'd like a suite
/data/shared-task/train/3896.wav,45478,is there a grocery store
/data/shared-task/train/3897.wav,51238,where is the grocery store
/data/shared-task/train/3898.wav,49318,can i have one musical ticket
/data/shared-task/train/3901.wav,49318,a ticket for morning night
/data/shared-task/train/3902.wav,40358,a ticket for tomorrow night
/data/shared-task/train/3903.wav,62118,i would like a ticket for starlight express
/data/shared-task/train/3904.wav,48038,a ticket for starlight express
/data/shared-task/train/3905.wav,73638,a ticket for starlight express
/data/shared-task/train/3906.wav,38438,i want to sit in the middle
/data/shared-task/train/3907.wav,57638,can i have tickets for the london eye
/data/shared-task/train/3908.wav,36518,i need four tickets
/data/shared-task/train/3909.wav,23718,i'm fine
/data/shared-task/train/3910.wav,27558,i want boots
/data/shared-task/train/3912.wav,33318,thirty-six
/data/shared-task/train/3915.wav,20518,big
/data/shared-task/train/3916.wav,24358,great
/data/shared-task/train/3918.wav,32678,how much is it
/data/shared-task/train/3920.wav,30118,i am fine
/data/shared-task/train/3921.wav,37158,i want sandals
/data/shared-task/train/3922.wav,42918,i want red sandals
/data/shared-task/train/3923.wav,32678,thirty-eight
/data/shared-task/train/3924.wav,33958,i want a t-shirt
/data/shared-task/train/3926.wav,24358,great
/data/shared-task/train/3927.wav,24998,great
/data/shared-task/train/3928.wav,39078,i am a large
/data/shared-task/train/3929.wav,35238,how much is it
/data/shared-task/train/3930.wav,50598,the t-shirt is too expensive
/data/shared-task/train/3931.wav,27558,i'm fine
/data/shared-task/train/3932.wav,33958,i want boots
/data/shared-task/train/3934.wav,29478,thirty-nine
/data/shared-task/train/3935.wav,35238,i want a t-shirt
/data/shared-task/train/3936.wav,48038,i want a brown t-shirt
/data/shared-task/train/3938.wav,35878,how much is the t-shirt
/data/shared-task/train/3940.wav,23718,i'm fine
/data/shared-task/train/3942.wav,48678,i want white sandals
/data/shared-task/train/3944.wav,32038,i want pants
/data/shared-task/train/3945.wav,46758,i'm looking for trousers
/data/shared-task/train/3947.wav,25638,small
/data/shared-task/train/3948.wav,65958,how much are the croasts
/data/shared-task/train/3949.wav,51878,how much does the trousers cost
/data/shared-task/train/3950.wav,49318,the trousers is too expensive
/data/shared-task/train/3952.wav,29478,my name is sarah
/data/shared-task/train/3953.wav,28198,i'm from italy
/data/shared-task/train/3955.wav,32038,i have a brother
/data/shared-task/train/3956.wav,39718,i have one brother
/data/shared-task/train/3958.wav,33318,this is my passport
/data/shared-task/train/3959.wav,37158,yes it is my passport
/data/shared-task/train/3960.wav,30758,my name is michelle
/data/shared-task/train/3963.wav,36518,i have four older brothers
/data/shared-task/train/3966.wav,42278,yes it is my passport
/data/shared-task/train/3967.wav,55078,i need a ticket to green park
/data/shared-task/train/3968.wav,67238,i would like to pay by credit card
/data/shared-task/train/3969.wav,44838,i need two tickets to london
/data/shared-task/train/3970.wav,52518,i want to leave on friday morning
/data/shared-task/train/3971.wav,28838,my name is silvia
/data/shared-task/train/3972.wav,28198,i'm from england
/data/shared-task/train/3973.wav,49318,i need six tickets to london
/data/shared-task/train/3974.wav,49318,i want to leave on friday night
/data/shared-task/train/3975.wav,37798,my name is stephanie
/data/shared-task/train/3976.wav,29478,i'm from germany
/data/shared-task/train/3977.wav,48678,i need two tickets to london
/data/shared-task/train/3979.wav,28198,how much is it
/data/shared-task/train/3980.wav,38438,i want a cheaper ticket
/data/shared-task/train/3981.wav,26278,this is okay
/data/shared-task/train/3982.wav,31398,my name is paul
/data/shared-task/train/3983.wav,40998,i'm from australia
/data/shared-task/train/3986.wav,71078,no i don't no i do not have a reservation
/data/shared-task/train/3987.wav,53158,a room for six nights
/data/shared-task/train/3988.wav,31398,a double room
/data/shared-task/train/3989.wav,40998,i would like a double room
/data/shared-task/train/3991.wav,35238,is there a lift
/data/shared-task/train/3992.wav,44838,i need two musical tickets
/data/shared-task/train/3993.wav,60198,i need two tickets for sunday night
/data/shared-task/train/3995.wav,69158,i would like to sit in the fifth row
/data/shared-task/train/3996.wav,56358,i need tickets for the science museum
/data/shared-task/train/3997.wav,36518,i need one ticket
/data/shared-task/train/3998.wav,43558,i need two musical tickets
/data/shared-task/train/3999.wav,42278,i need two tickets for tonight
/data/shared-task/train/4000.wav,41638,i need two tickets for mamma mia
/data/shared-task/train/4001.wav,74278,i need tickets a ticket for this musical
/data/shared-task/train/4002.wav,70438,i need a ticket for this musical
/data/shared-task/train/4004.wav,61478,i need tickets for the british museum
/data/shared-task/train/4005.wav,44198,i need three tickets
/data/shared-task/train/4006.wav,47398,i want a room for five nights
/data/shared-task/train/4007.wav,33958,i want a double room
/data/shared-task/train/4008.wav,28198,a twin room please
/data/shared-task/train/4009.wav,51238,can i pay with visa
/data/shared-task/train/4010.wav,41638,i want pay with euros
/data/shared-task/train/4012.wav,42278,is there a hotel restaurant
/data/shared-task/train/4014.wav,44198,i have no reservation
/data/shared-task/train/4015.wav,81958,no i don't no i do not have a reservation
/data/shared-task/train/4016.wav,52518,no i don't have a reservation
/data/shared-task/train/4017.wav,30758,a room for two nights
/data/shared-task/train/4018.wav,31398,i'd like a suite
/data/shared-task/train/4019.wav,38438,can i pay with visa
/data/shared-task/train/4020.wav,39718,is there a a lift
/data/shared-task/train/4023.wav,38438,can i pay with visa
/data/shared-task/train/4024.wav,53798,is there a grocery store
/data/shared-task/train/4025.wav,42918,where is the grocery store
/data/shared-task/train/4026.wav,40358,i would like a single room
/data/shared-task/train/4030.wav,28838,i want a room for five nights
/data/shared-task/train/4031.wav,53798,where is the hairdresser
/data/shared-task/train/4032.wav,51878,a room for five nights
/data/shared-task/train/4033.wav,56358,a twin room
/data/shared-task/train/4034.wav,52518,i want to pay with a credit card
/data/shared-task/train/4035.wav,48678,do you have a hairdresser
/data/shared-task/train/4036.wav,42278,where is the hairdresser
/data/shared-task/train/4037.wav,50598,my bathroom is dirty
/data/shared-task/train/4038.wav,49958,where is the hair blower
/data/shared-task/train/4041.wav,40358,a room for three nights
/data/shared-task/train/4042.wav,32038,a twin room
/data/shared-task/train/4043.wav,60198,i would like to pay with mastercard
/data/shared-task/train/4044.wav,49318,do you have a hotel bar
/data/shared-task/train/4047.wav,52518,in the room is
/data/shared-task/train/4048.wav,51878,the room has not a hair dryer
/data/shared-task/train/4049.wav,58918,in the room isn't a hair dryer
/data/shared-task/train/4050.wav,57638,a room for six nights
/data/shared-task/train/4052.wav,60838,a ticket to trafalgar square
/data/shared-task/train/4053.wav,63398,a ticket to trafalgar square
/data/shared-task/train/4058.wav,62118,can i pay by master card
/data/shared-task/train/4062.wav,65958,can i pay with a visa
/data/shared-task/train/4063.wav,73638,can i pay with
/data/shared-task/train/4065.wav,65318,can i have three musical tickets
/data/shared-task/train/4066.wav,48678,can i go on this evening
/data/shared-task/train/4067.wav,47398,i want to go this evening
/data/shared-task/train/4068.wav,51238,can i go this evening
/data/shared-task/train/4069.wav,90278,i want three tickets for the phantom of the opera
/data/shared-task/train/4070.wav,64678,can i sit for behind
/data/shared-task/train/4071.wav,51878,i want to sit in the back
/data/shared-task/train/4075.wav,98598,i would like four tickets for tomorrow evening
/data/shared-task/train/4079.wav,39078,i want steak rare
/data/shared-task/train/4080.wav,51238,i want a rare steak
/data/shared-task/train/4081.wav,79398,i would like to have a steak rare
/data/shared-task/train/4083.wav,103078,i would like to have some of the smashed potatoes
/data/shared-task/train/4085.wav,68518,i would like the dessert card
/data/shared-task/train/4087.wav,76198,i would like white boots
/data/shared-task/train/4088.wav,69158,i would like white boots
/data/shared-task/train/4089.wav,56358,forty one
/data/shared-task/train/4090.wav,44838,forty one
/data/shared-task/train/4091.wav,48678,i want some jeans
/data/shared-task/train/4092.wav,47398,i would like to have some jeans
/data/shared-task/train/4093.wav,64678,i want white jeans
/data/shared-task/train/4094.wav,39078,big
/data/shared-task/train/4095.wav,32038,big
/data/shared-task/train/4097.wav,96038,how much do the jeans cost
/data/shared-task/train/4099.wav,67878,which bus drives there
/data/shared-task/train/4100.wav,71078,marble arch is in front of the hyde park
/data/shared-task/train/4103.wav,33958,and where is the lift
/data/shared-task/train/4104.wav,33318,there is the lift
/data/shared-task/train/4105.wav,33318,where is the lift
/data/shared-task/train/4106.wav,30118,i'm from germany
/data/shared-task/train/4107.wav,30758,i'm from spain
/data/shared-task/train/4108.wav,42918,i would like to leave tomorrow at four p m
/data/shared-task/train/4109.wav,37798,i'm from australia
/data/shared-task/train/4113.wav,46758,where is the hairdresser
/data/shared-task/train/4116.wav,66598,is there a grocery store
/data/shared-task/train/4117.wav,64038,is there a grocery store
/data/shared-task/train/4118.wav,65958,where is the grocery store
/data/shared-task/train/4119.wav,54438,where is the grocery store
/data/shared-task/train/4120.wav,63398,where is the grocery store
/data/shared-task/train/4121.wav,107558,i want to leave at twelve o'clock tomorrow
/data/shared-task/train/4122.wav,78758,i would like to leave at twelve o'clock tomorrow
/data/shared-task/train/4123.wav,63398,i am from scotland
/data/shared-task/train/4125.wav,31398,a single room
/data/shared-task/train/4126.wav,44838,a single room please
/data/shared-task/train/4127.wav,56358,i want to pay with the credit card
/data/shared-task/train/4128.wav,66598,would i'd play with by credit card
/data/shared-task/train/4129.wav,60198,i want to pay by credit card
/data/shared-task/train/4130.wav,42278,is there a hotel bar
/data/shared-task/train/4131.wav,44838,i don't have a reservation
/data/shared-task/train/4132.wav,51878,a room for seven nights
/data/shared-task/train/4133.wav,32678,a single room
/data/shared-task/train/4135.wav,74278,i would to play pay by credit card
/data/shared-task/train/4137.wav,49318,is there a hotel restaurant
/data/shared-task/train/4138.wav,46758,where is the hotel restaurant
/data/shared-task/train/4139.wav,48678,a room for three nights
/data/shared-task/train/4142.wav,32038,single room
/data/shared-task/train/4143.wav,34598,a single room
/data/shared-task/train/4144.wav,46758,single room
/data/shared-task/train/4145.wav,60198,i want to pay by visa
/data/shared-task/train/4146.wav,60198,i would to pay by visa
/data/shared-task/train/4147.wav,48678,i would to pay by dollars
/data/shared-task/train/4148.wav,40358,is there a
/data/shared-task/train/4149.wav,46118,is there a hairdresser
/data/shared-task/train/4150.wav,44838,where is the hairdresser
/data/shared-task/train/4151.wav,48038,my toilet is dirty
/data/shared-task/train/4152.wav,49318,in the room there's no shampoo
/data/shared-task/train/4153.wav,48678,there is no shampoo in the room
/data/shared-task/train/4154.wav,57638,there is no shampoo in the room
/data/shared-task/train/4155.wav,54438,where i can buy shampoo
/data/shared-task/train/4156.wav,47398,where can i buy shampoo
/data/shared-task/train/4157.wav,49958,four tickets to london
/data/shared-task/train/4158.wav,53158,four tickets for london
/data/shared-task/train/4159.wav,58278,four tickets to london
/data/shared-task/train/4161.wav,46118,i don't have a reservation
/data/shared-task/train/4162.wav,55078,is they for two nights
/data/shared-task/train/4165.wav,51878,i would pay with post card
/data/shared-task/train/4167.wav,43558,where is the swimming pool
/data/shared-task/train/4168.wav,77478,don't you i would have a room for one week
/data/shared-task/train/4171.wav,19238,twin room
/data/shared-task/train/4174.wav,39718,i want to pay with credit card
/data/shared-task/train/4175.wav,34598,do you have a supermarket
/data/shared-task/train/4177.wav,41638,is there a grocery store
/data/shared-task/train/4178.wav,39718,where is the grocery store
/data/shared-task/train/4180.wav,46758,i could not i could not find the
/data/shared-task/train/4181.wav,53798,i could not find the hairdryer
/data/shared-task/train/4183.wav,77478,where i can buy a hairdryer
/data/shared-task/train/4184.wav,49318,where can i buy a hairdryer
/data/shared-task/train/4186.wav,19878,no i haven't a
/data/shared-task/train/4187.wav,37158,no i have no reservation
/data/shared-task/train/4188.wav,43558,no i haven't got a reservation
/data/shared-task/train/4189.wav,39718,a room for two nights
/data/shared-task/train/4190.wav,32038,a double room
/data/shared-task/train/4191.wav,36518,a room for two person
/data/shared-task/train/4194.wav,40358,is there a hotel restaurant
/data/shared-task/train/4195.wav,42278,where is the hotel restaurant
/data/shared-task/train/4196.wav,44838,i would have a ticket to london
/data/shared-task/train/4197.wav,39078,i would one ticket to
/data/shared-task/train/4199.wav,48038,i would like to leave tomorrow at four p m
/data/shared-task/train/4200.wav,33958,my name is michelle
/data/shared-task/train/4201.wav,25638,i'm from canada
/data/shared-task/train/4203.wav,25638,i'm from germany
/data/shared-task/train/4204.wav,56358,the capital of my country is berlin
/data/shared-task/train/4205.wav,48038,the capital of germany is berlin
/data/shared-task/train/4208.wav,35878,this is my passport
/data/shared-task/train/4209.wav,26918,i am good
/data/shared-task/train/4211.wav,65958,i will pay with credit card
/data/shared-task/train/4212.wav,67238,i will pay with credit card
/data/shared-task/train/4213.wav,63398,gives here a fitness studio
/data/shared-task/train/4214.wav,44838,where is the fitness studio
/data/shared-task/train/4215.wav,53798,where is the fitness studio
/data/shared-task/train/4216.wav,72998,the is
/data/shared-task/train/4217.wav,49318,the is sale
/data/shared-task/train/4219.wav,61478,can i have a room for three nights
/data/shared-task/train/4220.wav,46118,can i have a junior suite
/data/shared-task/train/4222.wav,59558,i like pay with post card
/data/shared-task/train/4224.wav,52518,where is the hairdresser
/data/shared-task/train/4225.wav,93478,where is the hairdresser
/data/shared-task/train/4226.wav,60198,where is the science museum
/data/shared-task/train/4227.wav,127398,where is the science museum
/data/shared-task/train/4228.wav,44198,where is the science museum
/data/shared-task/train/4230.wav,48678,where is the tower
/data/shared-task/train/4231.wav,80678,can you give me the directions to the tower of london
/data/shared-task/train/4232.wav,37158,which bus goes there
/data/shared-task/train/4234.wav,142758,the arch is at the other side opposite hyde park
/data/shared-task/train/4236.wav,42918,i don't have a reservation
/data/shared-task/train/4237.wav,49318,i haven't a reservation
/data/shared-task/train/4238.wav,101798,i don't have a reservation
/data/shared-task/train/4239.wav,68518,i haven't a reservation
/data/shared-task/train/4240.wav,60838,i haven't reservation
/data/shared-task/train/4241.wav,63398,i have not a reservation
/data/shared-task/train/4243.wav,49958,no you are a
/data/shared-task/train/4244.wav,50598,i don't haven't a reservation
/data/shared-task/train/4245.wav,39718,you are a
/data/shared-task/train/4247.wav,109478,i don't haven't a reservation i don't haven't a reservation
/data/shared-task/train/4250.wav,335398,can i have a room for three nights
/data/shared-task/train/4251.wav,40998,can i have a suite
/data/shared-task/train/4252.wav,42918,a suite
/data/shared-task/train/4254.wav,74918,i will pay with visa
/data/shared-task/train/4255.wav,61478,gives here a fitness studio
/data/shared-task/train/4256.wav,56998,where is the fitness studio
/data/shared-task/train/4257.wav,49958,where is the fitness studio
/data/shared-task/train/4258.wav,52518,where is the fitness studio
/data/shared-task/train/4259.wav,53798,can i have four musical tickets
/data/shared-task/train/4260.wav,51238,i would like to buy four musical tickets
/data/shared-task/train/4264.wav,89638,i don't have a reservation
/data/shared-task/train/4265.wav,35878,i'm fine
/data/shared-task/train/4266.wav,57638,i want to have shoes
/data/shared-task/train/4268.wav,62758,i would like white boots
/data/shared-task/train/4270.wav,53158,i would like a t-shirt
/data/shared-task/train/4271.wav,48678,i will like a t-shirt
/data/shared-task/train/4272.wav,46118,i would like a t-shirt
/data/shared-task/train/4273.wav,33318,i'm fine
/data/shared-task/train/4274.wav,47398,i would like sandal
/data/shared-task/train/4276.wav,56358,i would like red sandals
/data/shared-task/train/4277.wav,36518,red sandals
/data/shared-task/train/4278.wav,40358,forty-two
/data/shared-task/train/4279.wav,45478,i would like trousers
/data/shared-task/train/4280.wav,64678,i am looking for trousers
/data/shared-task/train/4281.wav,58278,i would like pink trousers
/data/shared-task/train/4283.wav,65318,how much does the trousers cost
/data/shared-task/train/4284.wav,128678,this trousers is too
